"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"321","133.841505500","112.80.248.76","172.20.10.6","ICMP","126","21 dBm","","","Echo (ping) reply    id=0x0001, seq=3210/35340, ttl=54 (request in 320)"
"323","134.850992000","112.80.248.76","172.20.10.6","ICMP","126","21 dBm","","","Echo (ping) reply    id=0x0001, seq=3211/35596, ttl=54 (request in 322)"
"325","135.871509800","112.80.248.76","172.20.10.6","ICMP","126","21 dBm","","","Echo (ping) reply    id=0x0001, seq=3212/35852, ttl=54 (request in 324)"
"327","136.892996100","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3213/36108, ttl=54 (request in 326)"
"329","137.920705500","112.80.248.76","172.20.10.6","ICMP","126","21 dBm","","","Echo (ping) reply    id=0x0001, seq=3214/36364, ttl=54 (request in 328)"
"331","138.934983700","112.80.248.76","172.20.10.6","ICMP","126","21 dBm","","","Echo (ping) reply    id=0x0001, seq=3215/36620, ttl=54 (request in 330)"
"333","139.951540100","112.80.248.76","172.20.10.6","ICMP","126","21 dBm","","","Echo (ping) reply    id=0x0001, seq=3216/36876, ttl=54 (request in 332)"
"335","140.980012500","112.80.248.76","172.20.10.6","ICMP","126","22 dBm","","","Echo (ping) reply    id=0x0001, seq=3217/37132, ttl=54 (request in 334)"
"337","141.995030600","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3218/37388, ttl=54 (request in 336)"
"339","143.011627000","112.80.248.76","172.20.10.6","ICMP","126","21 dBm","","","Echo (ping) reply    id=0x0001, seq=3219/37644, ttl=54 (request in 338)"
"341","144.041601900","112.80.248.76","172.20.10.6","ICMP","126","21 dBm","","","Echo (ping) reply    id=0x0001, seq=3220/37900, ttl=54 (request in 340)"
"343","145.050071100","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3221/38156, ttl=54 (request in 342)"
"345","146.059036600","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3222/38412, ttl=54 (request in 344)"
"347","147.080046400","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3223/38668, ttl=54 (request in 346)"
"349","147.817860900","46:f2:1b:94:13:64","IntelCor_01:f9:af","ARP","94","21 dBm","","","172.20.10.1 is at 46:f2:1b:94:13:64"
"351","148.090038800","112.80.248.76","172.20.10.6","ICMP","126","22 dBm","","","Echo (ping) reply    id=0x0001, seq=3224/38924, ttl=54 (request in 350)"
"353","149.120658200","112.80.248.76","172.20.10.6","ICMP","126","21 dBm","","","Echo (ping) reply    id=0x0001, seq=3225/39180, ttl=54 (request in 352)"
