"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","MCS index","Data rate","Info"
"815","78.796586","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-58 dBm","-93 dBm","35 dB","","6","Beacon frame, SN=2905, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"816","78.898976","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-58 dBm","-93 dBm","35 dB","","6","Beacon frame, SN=2906, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"817","79.001465","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-58 dBm","-93 dBm","35 dB","","6","Beacon frame, SN=2907, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"818","79.103832","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-59 dBm","-93 dBm","34 dB","","6","Beacon frame, SN=2908, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"819","79.206178","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-59 dBm","-93 dBm","34 dB","","6","Beacon frame, SN=2909, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"820","79.308611","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-58 dBm","-93 dBm","35 dB","","6","Beacon frame, SN=2910, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"821","79.410984","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-58 dBm","-93 dBm","35 dB","","6","Beacon frame, SN=2911, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"822","79.513408","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-59 dBm","-93 dBm","34 dB","","6","Beacon frame, SN=2912, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"823","79.615781","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-59 dBm","-93 dBm","34 dB","","6","Beacon frame, SN=2913, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"824","79.718186","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-59 dBm","-93 dBm","34 dB","","6","Beacon frame, SN=2914, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"825","79.820598","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-59 dBm","-93 dBm","34 dB","","6","Beacon frame, SN=2915, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"826","79.922994","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-59 dBm","-93 dBm","34 dB","","6","Beacon frame, SN=2916, FN=0, Flags=........C, BI=100, SSID=Z5241154"
